,number,name,theme,year,pieces,minifigs,availability,retired,released_date,retired_date,retail,value
46,21029-1,Buckingham Palace,Architecture,2016,780,0,RetailLimited,True,2016-09-17 00:00:00,2018-11-24 00:00:00,49.99,104.72
47,21030-1,United States Capitol Building,Architecture,2016,1032,0,RetailLimited,True,2016-09-17 00:00:00,2019-11-29 00:00:00,99.99,128.23
48,21031-1,Burj Khalifa,Architecture,2016,333,0,RetailLimited,True,2016-02-01 00:00:00,2017-12-18 00:00:00,39.99,90.86
49,21123-1,The Iron Golem,Minecraft,2016,208,2,Retail,True,2016-01-03 00:00:00,2018-03-12 00:00:00,19.99,35.16
50,21124-1,The End Portal,Minecraft,2016,559,3,Retail,True,2016-01-03 00:00:00,2017-01-12 00:00:00,59.99,182.46
51,21125-1,The Jungle Tree House,Minecraft,2016,706,4,Retail,True,2016-01-03 00:00:00,2017-11-16 00:00:00,89.99,170.95
52,21126-1,The Wither,Minecraft,2016,318,3,Retail,True,2016-01-03 00:00:00,2017-11-19 00:00:00,34.99,178.43
53,21127-1,The Fortress,Minecraft,2016,984,0,Retail,True,2016-09-17 00:00:00,2017-05-12 00:00:00,109.99,256.02
54,21128-1,The Village,Minecraft,2016,1600,9,Exclusive,True,2016-01-06 00:00:00,2017-12-16 00:00:00,199.99,589.45
55,21305-1,Maze,Ideas,2016,769,0,RetailLimited,True,2016-02-04 00:00:00,2016-11-25 00:00:00,69.99,155.95
56,30278-1,Poe's X-wing Fighter,Star Wars,2016,64,0,RetailLimited,True,2016-01-25 00:00:00,2017-04-29 00:00:00,3.99,5.64
57,30279-1,Kylo Ren's Command Shuttle,Star Wars,2016,43,0,Promotional,True,2016-07-15 00:00:00,2016-01-10 00:00:00,0.0,4.71
58,30321-1,Duck,Duplo,2016,4,0,Promotional,True,2016-01-03 00:00:00,2018-01-03 00:00:00,0.0,3.9
59,30346-1,Prison Island Helicopter,City,2016,46,1,Promotional,True,2016-08-10 00:00:00,2018-08-10 00:00:00,3.51,4.45
60,30347-1,Fire Car,City,2016,53,1,RetailLimited,True,2016-01-02 00:00:00,2016-01-03 00:00:00,3.51,4.44
61,30348-1,Mini Dumper,City,2016,45,1,RetailLimited,True,2016-06-05 00:00:00,2016-01-07 00:00:00,4.99,5.55
62,30349-1,Sports Car,City,2016,47,1,RetailLimited,True,2016-01-25 00:00:00,2016-02-28 00:00:00,3.51,4.4
63,30371-1,Knight's Cycle,Nexo Knights,2016,38,1,Promotional,True,2016-11-07 00:00:00,2018-11-07 00:00:00,3.51,3.85
64,30372-1,Robin's Mini Fortrex,Nexo Knights,2016,45,1,Promotional,True,2016-02-15 00:00:00,2018-02-15 00:00:00,0.0,2.8
65,30375-1,Sira's Adventurous Airglider,Elves,2016,24,1,Promotional,True,2016-04-25 00:00:00,2018-04-25 00:00:00,0.0,13.92
66,30397-1,Olaf's Summertime Fun,Disney Princess,2016,48,1,Promotional,True,2016-01-17 00:00:00,2018-01-17 00:00:00,0.0,5.47
67,30398-1,Adventure Camp Bridge,Friends,2016,37,1,Promotional,True,2016-01-16 00:00:00,2016-01-31 00:00:00,0.0,4.31
68,30421-1,Skybound Plane,Ninjago,2016,30,1,Retail,True,2016-01-02 00:00:00,2016-01-03 00:00:00,3.51,5.54
69,30422-1,Kai's Mini Dragon,Ninjago,2016,39,1,Promotional,True,2016-01-03 00:00:00,2016-03-25 00:00:00,0.0,4.63
70,30446-1,The Batmobile,DC Comics Super Heroes,2016,63,0,RetailLimited,True,2016-03-18 00:00:00,2018-03-18 00:00:00,3.51,4.02
71,30472-1,Parrot,Creator,2016,43,0,Promotional,True,2016-01-05 00:00:00,2018-01-05 00:00:00,0.0,3.1
72,30601-1,Scooby-Doo,Scooby-Doo,2016,2,1,Promotional,True,2016-01-05 00:00:00,2018-01-05 00:00:00,0.0,15.83
73,30602-1,First Order Stormtrooper,Star Wars,2016,7,1,Promotional,True,2016-01-05 00:00:00,2016-04-05 00:00:00,0.0,9.9
74,30603-1,Mr. Freeze,DC Comics Super Heroes,2016,16,1,Promotional,True,2016-01-04 00:00:00,2016-04-15 00:00:00,0.0,8.03
75,30604-1,Cosmic Boy,DC Comics Super Heroes,2016,7,1,Promotional,True,2016-01-03 00:00:00,2018-01-03 00:00:00,0.0,8.8
76,30606-1,Nightwing,DC Comics Super Heroes,2016,6,1,Promotional,True,2016-01-06 00:00:00,2018-01-06 00:00:00,0.0,16.31
77,31040-1,Desert Racers,Creator,2016,65,0,Retail,True,2015-02-12 00:00:00,2016-11-20 00:00:00,4.99,13.76
78,31041-1,Construction Vehicles,Creator,2016,64,0,Retail,True,2015-02-12 00:00:00,2016-11-25 00:00:00,4.99,17.32
79,31042-1,Super Soarer,Creator,2016,100,0,Retail,True,2015-02-12 00:00:00,2018-01-15 00:00:00,9.99,24.23
80,31043-1,Chopper Transporter,Creator,2016,124,0,Retail,True,2015-02-12 00:00:00,2016-12-14 00:00:00,9.99,19.27
81,31044-1,Park Animals,Creator,2016,202,0,Retail,True,2015-02-12 00:00:00,2016-11-20 00:00:00,14.99,31.29
82,31045-1,Ocean Explorer,Creator,2016,213,0,Retail,True,2015-02-12 00:00:00,2018-01-15 00:00:00,14.99,34.72
83,31046-1,Fast Car,Creator,2016,222,0,Retail,True,2015-02-12 00:00:00,2017-11-22 00:00:00,19.99,23.59
84,31047-1,Propeller Plane,Creator,2016,230,0,Retail,True,2016-02-01 00:00:00,2017-12-28 00:00:00,19.99,36.24
85,31048-1,Lakeside Lodge,Creator,2016,368,1,Retail,True,2016-02-01 00:00:00,2017-11-25 00:00:00,24.99,49.32
86,31049-1,Twin Spin Helicopter,Creator,2016,326,0,Retail,True,2016-05-22 00:00:00,2018-03-23 00:00:00,29.99,34.5
87,31050-1,Corner Deli,Creator,2016,467,2,Retail,True,2016-02-01 00:00:00,2017-11-25 00:00:00,34.99,55.75
88,31051-1,Lighthouse Point,Creator,2016,528,2,Retail,True,2016-05-22 00:00:00,2017-10-12 00:00:00,49.99,92.66
89,31052-1,Vacation Getaways,Creator,2016,792,2,Retail,True,2016-05-22 00:00:00,2017-09-11 00:00:00,59.99,98.56
90,31053-1,Treehouse Adventures,Creator,2016,387,0,Retail,True,2016-05-22 00:00:00,2017-11-25 00:00:00,29.99,39.22
91,40165-1,Minifigure Wedding Favor Set,Exclusive,2016,89,2,Exclusive,True,2016-01-03 00:00:00,2017-11-24 00:00:00,7.99,35.38
92,40166-1,LEGOLAND Train,Promotional,2016,210,4,Promotional,True,2016-02-24 00:00:00,2018-02-24 00:00:00,17.59,21.2
93,40167-1,My First Set Give Away,Duplo,2016,10,0,Promotional,True,2016-01-01 00:00:00,2018-01-01 00:00:00,0.0,3.01
94,40201-1,Valentine's Cupid Dog,Seasonal,2016,150,0,Exclusive,True,2016-02-01 00:00:00,2016-02-22 00:00:00,9.99,19.59
95,40202-1,Easter Chick,Seasonal,2016,111,0,Exclusive,True,2016-01-03 00:00:00,2016-06-21 00:00:00,9.99,11.55
96,40208-1,Polar Bear,Promotional,2016,0,0,Promotional,True,2016-01-01 00:00:00,2018-01-01 00:00:00,0.0,7.32
97,40210-1,Bunny,Promotional,2016,0,0,Promotional,True,2016-01-03 00:00:00,2016-02-03 00:00:00,0.0,6.63
98,40214-1,Frog,Promotional,2016,0,0,Promotional,True,2016-05-07 00:00:00,2016-06-07 00:00:00,0.0,8.9
99,40215-1,Apple,Promotional,2016,0,0,Promotional,True,2016-02-08 00:00:00,2016-03-08 00:00:00,0.0,7.22
100,40216-1,School Bus,Promotional,2016,0,0,Promotional,True,2016-06-09 00:00:00,2016-07-09 00:00:00,0.0,6.73
101,40217-1,Werewolf,Promotional,2016,0,0,Promotional,True,2016-04-10 00:00:00,2016-05-10 00:00:00,0.0,5.32
102,40218-1,Fox,Promotional,2016,0,0,Promotional,True,2016-01-11 00:00:00,2016-02-11 00:00:00,0.0,5.38
103,40219-1,Christmas Present,Promotional,2016,0,0,Promotional,True,2016-01-12 00:00:00,2018-01-12 00:00:00,0.0,5.9
104,40221-1,Fountain,Creator,2016,105,0,Promotional,True,2016-01-06 00:00:00,2017-11-17 00:00:00,9.99,17.85
105,40223-1,Christmas Ornament,Seasonal,2016,215,1,Promotional,True,2016-01-11 00:00:00,2018-02-10 00:00:00,9.99,40.92
106,40225-1,Rio 2016 Mascots,Promotional,2016,197,0,Promotional,True,2016-01-08 00:00:00,2016-08-21 00:00:00,39.99,52.62
107,40227-1,MSC Meraviglia Cruise Ship,Promotional,2016,180,0,Promotional,True,2016-01-01 00:00:00,2018-01-01 00:00:00,39.99,53.85
108,41065-1,Rapunzel's Best Day Ever,Disney Princess,2016,145,1,Retail,True,2016-01-08 00:00:00,2017-11-18 00:00:00,17.59,27.4
109,41066-1,Anna & Kristoff's Sleigh Adventure,Disney Princess,2016,174,2,Retail,True,2015-02-12 00:00:00,2017-09-12 00:00:00,29.99,33.67
110,41067-1,Belle's Enchanted Castle,Disney Princess,2016,374,0,Retail,True,2016-01-08 00:00:00,2017-03-12 00:00:00,49.99,91.08
111,41068-1,Arendelle Castle Celebration,Disney Princess,2016,477,6,Retail,True,2015-02-12 00:00:00,2017-11-26 00:00:00,59.99,61.78
112,41069-1,Treasure's Day at the Pool,Disney Princess,2016,70,0,Retail,True,2016-02-01 00:00:00,2016-11-29 00:00:00,7.99,12.26
113,41110-1,Birthday Party,Friends,2016,191,0,Retail,True,2016-02-01 00:00:00,2016-02-12 00:00:00,19.99,24.49
114,41111-1,Party Train,Friends,2016,109,1,Retail,True,2016-02-01 00:00:00,2016-11-29 00:00:00,9.99,11.34
115,41112-1,Party Cakes,Friends,2016,50,0,Retail,True,2016-02-01 00:00:00,2016-04-12 00:00:00,4.99,8.54
116,41113-1,Party Gift Shop,Friends,2016,52,0,Retail,True,2016-02-01 00:00:00,2016-12-15 00:00:00,4.99,7.14
117,41114-1,Party Styling,Friends,2016,54,0,Retail,True,2016-02-01 00:00:00,2016-11-25 00:00:00,4.99,8.18
118,41115-1,Emma's Creative Workshop,Friends,2016,108,1,Retail,True,2016-02-01 00:00:00,2016-11-28 00:00:00,9.99,18.72
119,41116-1,Olivia's Exploration Car,Friends,2016,185,1,Retail,True,2016-02-01 00:00:00,2016-11-25 00:00:00,14.99,24.02
120,41117-1,Pop Star TV Studio,Friends,2016,194,1,Retail,True,2016-02-01 00:00:00,2016-12-30 00:00:00,24.99,31.86
121,41118-1,Heartlake Supermarket,Friends,2016,313,2,Retail,True,2016-02-01 00:00:00,2017-11-25 00:00:00,34.99,67.51
122,41119-1,Heartlake Cupcake Cafe,Friends,2016,439,2,Retail,True,2016-02-01 00:00:00,2017-11-24 00:00:00,39.99,55.88
123,41120-1,Adventure Camp Archery,Friends,2016,114,1,Retail,True,2016-02-01 00:00:00,2017-09-03 00:00:00,9.99,12.18
124,41121-1,Adventure Camp Rafting,Friends,2016,320,2,Retail,True,2016-02-01 00:00:00,2016-11-26 00:00:00,29.99,33.13
