Number,Name,Theme,Subtheme,Year,Pieces,Minifigs,Availability,Retired,ReleasedDate,RetiredDate,Retail,Paid,Value,Growth,Condition,Date,Notes,Collection,Status,URL
10570-1,All-in-One Gift Set,Duplo,,2014,30,0,Retail,True,18/02/2014,30/12/2016,"17;99 €","17;99 €","32;33 €",79.72,New,,,Default,Owned,https://www.brickeconomy.com/set/10570-1/lego-duplo-all-in-one-gift-set
10571-1,All-in-One-Box-of-Fun Pink,Duplo,Building Sets,2014,65,1,Retail,True,18/02/2014,29/11/2017,"29;99 €","29;99 €","107;76 €",259.31,New,,,Default,Owned,https://www.brickeconomy.com/set/10571-1/lego-duplo-all-in-one-box-of-fun-pink
10572-1,All-in-One-Box-of-Fun,Duplo,Building Sets,2014,65,1,Retail,True,18/02/2014,18/02/2016,"29;99 €","29;99 €","47;29 €",57.69,New,,,Default,Owned,https://www.brickeconomy.com/set/10572-1/lego-duplo-all-in-one-box-of-fun
10573-1,Creative Animals,Duplo,,2014,25,0,Retail,True,02/12/2013,25/11/2016,"14;99 €","14;99 €","51;52 €",243.72,New,,,Default,Owned,https://www.brickeconomy.com/set/10573-1/lego-duplo-creative-animals
10574-1,Creative Ice Cream,Duplo,,2014,24,0,Retail,True,02/01/2014,19/01/2016,"14;99 €","14;99 €","119;80 €",699.22,New,,,Default,Owned,https://www.brickeconomy.com/set/10574-1/lego-duplo-creative-ice-cream
10575-1,Creative Building Cube,Duplo,Building Sets,2014,75,0,Retail,True,02/12/2014,20/03/2015,"24;99 €","24;99 €","55;08 €",120.40,New,,,Default,Owned,https://www.brickeconomy.com/set/10575-1/lego-duplo-creative-building-cube
10576-1,Zoo Care,Duplo,,2014,9,1,Retail,True,24/10/2014,21/01/2015,"6;99 €","6;99 €","36;80 €",426.49,New,,,Default,Owned,https://www.brickeconomy.com/set/10576-1/lego-duplo-zoo-care
10577-1,Big Royal Castle,Duplo,,2014,135,4,Retail,True,02/08/2014,10/01/2016,"41;99 €","41;99 €","231;93 €",452.35,New,,,Default,Owned,https://www.brickeconomy.com/set/10577-1/lego-duplo-big-royal-castle
10579-1,Clubhouse Cafe,Duplo,Mickey Mouse Clubhouse,2014,16,0,Retail,True,02/08/2014,14/01/2015,"14;99 €","14;99 €","51;46 €",243.31,New,,,Default,Owned,https://www.brickeconomy.com/set/10579-1/lego-duplo-mickey-mouse-clubhouse-clubhouse-cafe
10580-1,Deluxe Box of Fun,Duplo,Building Sets,2014,95,2,Retail,True,27/05/2014,25/11/2017,"44;99 €","44;99 €","48;73 €",8.32,New,,,Default,Owned,https://www.brickeconomy.com/set/10580-1/lego-duplo-deluxe-box-of-fun
10665-1,Spider-Man: Spider-Car Pursuit,Juniors,Super Heroes,2014,55,2,Retail,True,18/02/2014,25/11/2015,"12;99 €","12;99 €","26;45 €",103.64,New,,,Default,Owned,https://www.brickeconomy.com/set/10665-1/lego-juniors-super-heroes-spider-man-spider-car-pursuit
10666-1,Digger,Juniors,City,2014,75,1,Retail,True,18/02/2014,04/10/2014,"9;99 €","9;99 €","48;11 €",381.58,New,,,Default,Owned,https://www.brickeconomy.com/set/10666-1/lego-juniors-city-digger
10667-1,Construction,Juniors,City,2014,160,1,Retail,True,18/02/2014,10/11/2016,"17;99 €","17;99 €","64;08 €",256.21,New,,,Default,Owned,https://www.brickeconomy.com/set/10667-1/lego-juniors-city-construction
10668-1,The Princess Play Castle,Juniors,Fantasy,2014,150,1,Retail,True,18/02/2014,01/12/2015,"17;99 €","17;99 €","33;78 €",87.79,New,,,Default,Owned,https://www.brickeconomy.com/set/10668-1/lego-juniors-fantasy-the-princess-play-castle
10669-1,Turtle Lair,Juniors,Teenage Mutant Ninja Turtles,2014,107,2,Retail,True,27/05/2014,29/11/2015,"19;99 €","19;99 €","76;27 €",281.54,New,,,Default,Owned,https://www.brickeconomy.com/set/10669-1/lego-juniors-teenage-mutant-ninja-turtles-turtle-lair
10671-1,Fire Emergency,Juniors,City,2014,123,2,RetailLimited,True,24/10/2014,04/12/2015,"19;99 €","19;99 €","66;03 €",230.30,New,,,Default,Owned,https://www.brickeconomy.com/set/10671-1/lego-juniors-city-fire-emergency
10672-1,Batman: Defend the Batcave,Juniors,Super Heroes,2014,150,3,Retail,True,18/02/2014,23/12/2015,"32;99 €","32;99 €","46;03 €",39.54,New,,,Default,Owned,https://www.brickeconomy.com/set/10672-1/lego-juniors-super-heroes-batman-defend-the-batcave
10673-1,Race Car Rally,Juniors,City,2014,350,2,Retail,True,18/02/2014,27/11/2016,"29;99 €","29;99 €","33;25 €",10.86,New,,,Default,Owned,https://www.brickeconomy.com/set/10673-1/lego-juniors-city-race-car-rally
10674-1,Pony Farm,Juniors,Girl,2014,306,1,Retail,True,18/02/2014,04/12/2016,"29;99 €","29;99 €","105;51 €",251.82,New,,,Default,Owned,https://www.brickeconomy.com/set/10674-1/lego-juniors-girl-pony-farm
10675-1,Police – The Big Escape,Juniors,City,2014,146,3,Retail,True,18/02/2014,27/11/2015,"29;99 €","29;99 €","82;81 €",176.12,New,,,Default,Owned,https://www.brickeconomy.com/set/10675-1/lego-juniors-city-police-the-big-escape
10676-1,"Knights' Castle",Juniors,Fantasy,2014,480,4,Retail,True,27/05/2014,19/11/2015,"44;99 €","44;99 €","129;01 €",186.75,New,,,Default,Owned,https://www.brickeconomy.com/set/10676-1/lego-juniors-fantasy-knights-castle
10681-1,Creative Building Cube,Bricks and More,,2014,600,0,Retail,True,01/01/2014,01/01/2016,"24;99 €","24;99 €","44;35 €",77.48,New,,,Default,Owned,https://www.brickeconomy.com/set/10681-1/lego-creative-building-cube
10682-1,Creative Suitcase,Bricks and More,,2014,1000,0,Retail,True,18/10/2014,05/01/2015,"39;99 €","39;99 €","75;18 €",87.99,New,,,Default,Owned,https://www.brickeconomy.com/set/10682-1/lego-creative-suitcase
21019-1,The Eiffel Tower,Architecture,Landmark Series,2014,321,0,Retail,True,02/01/2014,11/12/2018,"34;99 €","34;99 €","87;30 €",149.51,New,,,Default,Owned,https://www.brickeconomy.com/set/21019-1/lego-architecture-the-eiffel-tower
21020-1,Trevi Fountain,Architecture,Landmark Series,2014,731,0,RetailLimited,True,01/05/2014,14/11/2016,"49;99 €","49;99 €","179;20 €",258.48,New,,,Default,Owned,https://www.brickeconomy.com/set/21020-1/lego-architecture-trevi-fountain
21104-1,NASA Mars Science Laboratory Curiosity Rover,Ideas,NASA,2014,295,0,Exclusive,True,10/01/2014,14/04/2014,"29;99 €","29;99 €","353;31 €",1078.10,New,,,Default,Owned,https://www.brickeconomy.com/set/21104-1/lego-ideas-nasa-mars-science-laboratory-curiosity-rover
21107-1,The End,Minecraft,Micro World,2014,440,4,RetailLimited,True,03/06/2014,26/01/2015,"34;99 €","34;99 €","52;29 €",49.44,New,,,Default,Owned,https://www.brickeconomy.com/set/21107-1/lego-minecraft-micro-world-the-end
21108-1,Ghostbusters Ecto-1,Ideas,Licensed,2014,508,4,RetailLimited,True,03/06/2014,02/11/2016,"49;99 €","49;99 €","100;85 €",101.74,New,,,Default,Owned,https://www.brickeconomy.com/set/21108-1/lego-ideas-ghostbusters-ecto-1
21109-1,Exo-Suit,Ideas,,2014,321,2,RetailLimited,True,28/12/2014,26/08/2015,"24;49 €","24;49 €","61;59 €",151.50,New,,,Default,Owned,https://www.brickeconomy.com/set/21109-1/lego-ideas-exo-suit
21110-1,Research Institute,Ideas,Scientific,2014,165,3,RetailLimited,True,02/08/2014,14/12/2014,"19;99 €","19;99 €","38;10 €",90.62,New,,,Default,Owned,https://www.brickeconomy.com/set/21110-1/lego-ideas-research-institute
21113-1,The Cave,Minecraft,Minifig-scale,2014,249,2,RetailLimited,True,16/11/2014,07/11/2017,"19;99 €","19;99 €","34;31 €",71.64,New,,,Default,Owned,https://www.brickeconomy.com/set/21113-1/lego-minecraft-the-cave
21114-1,The Farm,Minecraft,Minifig-scale,2014,262,2,RetailLimited,True,16/11/2014,15/12/2016,"29;99 €","29;99 €","44;18 €",47.33,New,,,Default,Owned,https://www.brickeconomy.com/set/21114-1/lego-minecraft-the-farm
21115-1,The First Night,Minecraft,Minifig-scale,2014,408,2,RetailLimited,True,16/11/2014,26/11/2016,"39;99 €","39;99 €","105;91 €",164.84,New,,,Default,Owned,https://www.brickeconomy.com/set/21115-1/lego-minecraft-the-first-night
21116-1,Crafting Box,Minecraft,Minifig-scale,2014,518,2,RetailLimited,True,16/11/2014,20/11/2016,"54;99 €","54;99 €","82;02 €",49.15,New,,,Default,Owned,https://www.brickeconomy.com/set/21116-1/lego-minecraft-crafting-box
21117-1,The Ender Dragon,Minecraft,Minifig-scale,2014,634,4,RetailLimited,True,16/11/2014,20/12/2016,"69;99 €","69;99 €","225;70 €",222.48,New,,,Default,Owned,https://www.brickeconomy.com/set/21117-1/lego-minecraft-the-ender-dragon
21118-1,The Mine,Minecraft,Minifig-scale,2014,922,4,RetailLimited,True,16/11/2014,26/12/2015,"99;99 €","99;99 €","231;41 €",131.44,New,,,Default,Owned,https://www.brickeconomy.com/set/21118-1/lego-minecraft-the-mine
30067-1,Farm Random Bag,Duplo,Farm,2014,5,1,Retail,True,01/01/2014,01/01/2016,"1;75 €","1;75 €","4;71 €",168.84,New,,,Default,Owned,https://www.brickeconomy.com/set/30067-1/lego-duplo-farm-random-bag
30067-2,Farm Farmer,Duplo,,2014,3,1,Retail,True,01/01/2014,01/01/2016,"1;75 €","1;75 €","4;67 €",166.83,New,,,Default,Owned,https://www.brickeconomy.com/set/30067-2/lego-duplo-farm-farmer
30067-3,Farm Calf,Duplo,,2014,4,0,Retail,True,01/01/2014,01/01/2016,"1;75 €","1;75 €","4;70 €",168.34,New,,,Default,Owned,https://www.brickeconomy.com/set/30067-3/lego-duplo-farm-calf
30067-4,Farm Goat,Duplo,,2014,4,0,Retail,True,01/01/2014,01/01/2016,"1;75 €","1;75 €","4;75 €",171.36,New,,,Default,Owned,https://www.brickeconomy.com/set/30067-4/lego-duplo-farm-goat
30068-1,Apple,Duplo,,2014,6,0,RetailLimited,True,01/01/2014,01/01/2016,"3;51 €","3;51 €","3;83 €",9.02,New,,,Default,Owned,https://www.brickeconomy.com/set/30068-1/lego-duplo-apple
30112-1,"Emma's Flower Stand",Friends,Small Packs,2014,33,1,RetailLimited,True,01/03/2014,15/05/2015,"4;39 €","4;39 €","5;36 €",22.04,New,,,Default,Owned,https://www.brickeconomy.com/set/30112-1/lego-friends-emmas-flower-stand
30113-1,"Stephanie's Bakery Stand",Friends,Small Packs,2014,28,1,Promotional,True,27/12/2013,20/04/2014,"0;00 €","0;00 €","4;84 €",384.00,New,,,Default,Owned,https://www.brickeconomy.com/set/30113-1/lego-friends-stephanies-bakery-stand
30114-1,"Andrea's Beach Lounge ",Friends,Summer,2014,29,1,Promotional,True,01/01/2014,01/01/2016,"0;00 €","0;00 €","6;70 €",569.68,New,,,Default,Owned,https://www.brickeconomy.com/set/30114-1/lego-friends-andreas-beach-lounge
30115-1,Jungle Boat,Friends,Jungle Rescue,2014,31,1,RetailLimited,True,01/01/2014,01/01/2016,"4;39 €","4;39 €","4;76 €",8.42,New,,,Default,Owned,https://www.brickeconomy.com/set/30115-1/lego-friends-jungle-rescue-jungle-boat
30116-1,"Rapunzel's Market Visit",Disney Princess,Tangled,2014,37,1,RetailLimited,True,01/01/2014,01/01/2016,"3;51 €","3;51 €","4;66 €",32.58,New,,,Default,Owned,https://www.brickeconomy.com/set/30116-1/lego-disney-princess-tangled-rapunzels-market-visit
30187-1,Fast Car,Creator,,2014,56,0,Retail,True,01/01/2014,01/05/2014,"3;51 €","3;51 €","4;29 €",22.06,New,,,Default,Owned,https://www.brickeconomy.com/set/30187-1/lego-creator-fast-car
30188-1,Cute Kitten ,Creator,,2014,54,0,Promotional,True,14/05/2014,14/05/2016,"0;00 €","0;00 €","6;67 €",567.04,New,,,Default,Owned,https://www.brickeconomy.com/set/30188-1/lego-creator-cute-kitten
30189-1,Transport Plane  ,Creator,,2014,49,0,Promotional,True,01/01/2014,01/01/2016,"0;00 €","0;00 €","3;40 €",239.68,New,,,Default,Owned,https://www.brickeconomy.com/set/30189-1/lego-creator-transport-plane
30197-1,Snowman,Creator,Seasonal,2014,60,0,RetailLimited,True,01/10/2014,01/12/2014,"3;51 €","3;51 €","10;26 €",192.23,New,,,Default,Owned,https://www.brickeconomy.com/set/30197-1/lego-creator-snowman
30226-1,Police Helicopter ,City,Police,2014,48,1,Promotional,True,01/02/2014,27/02/2014,"0;00 €","0;00 €","4;42 €",341.76,New,,,Default,Owned,https://www.brickeconomy.com/set/30226-1/lego-city-police-helicopter
30227-1,Police Watercraft,City,Police,2014,36,2,RetailLimited,True,01/01/2014,01/01/2016,"4;39 €","4;39 €","4;45 €",1.40,New,,,Default,Owned,https://www.brickeconomy.com/set/30227-1/lego-city-police-watercraft
30228-1,Police ATV,City,Police,2014,40,1,Promotional,True,15/09/2014,30/09/2014,"0;00 €","0;00 €","4;29 €",329.44,New,,,Default,Owned,https://www.brickeconomy.com/set/30228-1/lego-city-police-atv
30229-1,Repair Lift ,City,Traffic,2014,40,1,RetailLimited,True,14/05/2014,01/09/2014,"3;07 €","3;07 €","6;62 €",115.47,New,,,Default,Owned,https://www.brickeconomy.com/set/30229-1/lego-city-repair-lift
30244-1,"Anakin's Jedi Interceptor",Star Wars,Episode III,2014,45,0,RetailLimited,True,01/01/2014,01/09/2014,"3;95 €","3;95 €","9;55 €",141.65,New,,,Default,Owned,https://www.brickeconomy.com/set/30244-1/lego-star-wars-anakins-jedi-interceptor
30246-1,Imperial Shuttle,Star Wars,Episode VI,2014,57,0,RetailLimited,True,01/02/2014,30/07/2014,"3;51 €","3;51 €","6;62 €",88.47,New,,,Default,Owned,https://www.brickeconomy.com/set/30246-1/lego-star-wars-imperial-shuttle
30247-1,ARC-170 Starfighter,Star Wars,Episode III,2014,54,0,RetailLimited,True,01/05/2014,30/08/2014,"3;51 €","3;51 €","6;66 €",89.72,New,,,Default,Owned,https://www.brickeconomy.com/set/30247-1/lego-star-wars-arc-170-starfighter
30262-1,"Gorzan's Walker ",Legends of Chima,Outlands,2014,34,1,Retail,True,01/01/2014,30/06/2014,"3;51 €","3;51 €","5;69 €",62.16,New,,,Default,Owned,https://www.brickeconomy.com/set/30262-1/lego-legends-of-chima-gorzans-walker
30263-1,Spider Crawler,Legends of Chima,Outlands,2014,40,1,Retail,True,01/01/2014,01/01/2016,"3;51 €","3;51 €","6;54 €",86.22,New,,,Default,Owned,https://www.brickeconomy.com/set/30263-1/lego-legends-of-chima-spider-crawler
30264-1,"Frax' Phoenix Flyer",Legends of Chima,Fire vs Ice,2014,32,1,RetailLimited,True,01/07/2014,15/12/2014,"3;51 €","3;51 €","4;28 €",21.80,New,,,Default,Owned,https://www.brickeconomy.com/set/30264-1/lego-legends-of-chima-frax-phoenix-flyer
30265-1,"Worriz' Fire Bike",Legends of Chima,Fire vs Ice,2014,31,1,Retail,True,01/07/2014,30/09/2014,"3;95 €","3;95 €","4;51 €",14.25,New,,,Default,Owned,https://www.brickeconomy.com/set/30265-1/lego-legends-of-chima-worriz-fire-bike
30266-1,"Sykor's Ice Cruiser",Legends of Chima,Fire vs Ice,2014,25,1,RetailLimited,True,01/07/2014,30/09/2014,"3;51 €","3;51 €","7;59 €",116.29,New,,,Default,Owned,https://www.brickeconomy.com/set/30266-1/lego-legends-of-chima-sykors-ice-cruiser
30271-1,"Mikey's Mini-Shellraiser",Teenage Mutant Ninja Turtles,,2014,47,1,RetailLimited,True,14/05/2014,14/09/2014,"4;39 €","4;39 €","16;68 €",279.96,New,,,Default,Owned,https://www.brickeconomy.com/set/30271-1/lego-teenage-mutant-ninja-turtles-mikeys-mini-shellraiser
30280-1,The Piece of Resistance ,The LEGO Movie,Promotional,2014,33,1,Promotional,True,01/02/2014,28/02/2014,"0;00 €","0;00 €","5;68 €",467.60,New,,,Default,Owned,https://www.brickeconomy.com/set/30280-1/the-lego-movie-the-piece-of-resistance
30281-1,Micro Manager Battle ,The LEGO Movie,Promotional,2014,27,1,Promotional,True,01/09/2014,01/09/2016,"0;00 €","0;00 €","5;38 €",437.68,New,,,Default,Owned,https://www.brickeconomy.com/set/30281-1/the-lego-movie-micro-manager-battle
30282-1,Super Secret Police Enforcer ,The LEGO Movie,Promotional,2014,40,1,RetailLimited,True,01/01/2014,01/05/2014,"4;39 €","4;39 €","5;24 €",19.24,New,,,Default,Owned,https://www.brickeconomy.com/set/30282-1/the-lego-movie-super-secret-police-enforcer
30300-1,The Batman Tumbler,DC Comics Super Heroes,The Dark Knight Trilogy,2014,57,0,RetailLimited,True,01/02/2014,01/05/2014,"3;51 €","3;51 €","6;81 €",93.98,New,,,Default,Owned,https://www.brickeconomy.com/set/30300-1/lego-the-dark-knight-trilogy-the-batman-tumbler
30301-1,Batwing,DC Comics Super Heroes,Batman,2014,45,0,RetailLimited,True,01/09/2014,01/11/2014,"4;39 €","4;39 €","5;79 €",31.86,New,,,Default,Owned,https://www.brickeconomy.com/set/30301-1/lego-batman-batwing
30302-1,Spider-Man,Marvel Super Heroes,Ultimate Spider-Man,2014,45,1,RetailLimited,True,01/03/2014,01/05/2014,"3;51 €","3;51 €","7;13 €",103.01,New,,,Default,Owned,https://www.brickeconomy.com/set/30302-1/lego-ultimate-spider-man-spider-man
30310-1,Arctic Scout,City,Arctic,2014,40,1,Promotional,True,01/09/2014,01/09/2014,"0;00 €","0;00 €","7;05 €",604.88,New,,,Default,Owned,https://www.brickeconomy.com/set/30310-1/lego-city-arctic-scout
31013-1,Red Thunder,Creator,,2014,66,0,Retail,True,02/12/2013,08/12/2014,"4;99 €","4;99 €","8;19 €",64.18,New,,,Default,Owned,https://www.brickeconomy.com/set/31013-1/lego-creator-red-thunder
31014-1,Power Digger,Creator,,2014,64,0,Retail,True,02/12/2013,29/10/2015,"4;99 €","4;99 €","20;78 €",316.37,New,,,Default,Owned,https://www.brickeconomy.com/set/31014-1/lego-creator-power-digger
31015-1,Emerald Express,Creator,,2014,56,0,Retail,True,02/12/2013,10/11/2015,"4;99 €","4;99 €","16;83 €",237.19,New,,,Default,Owned,https://www.brickeconomy.com/set/31015-1/lego-creator-emerald-express
31017-1,Sunset Speeder,Creator,,2014,119,0,Retail,True,02/12/2013,24/10/2015,"9;99 €","9;99 €","14;97 €",49.84,New,,,Default,Owned,https://www.brickeconomy.com/set/31017-1/lego-creator-sunset-speeder
31018-1,Highway Cruiser,Creator,,2014,129,0,Retail,True,02/12/2013,31/10/2015,"9;99 €","9;99 €","18;99 €",90.09,New,,,Default,Owned,https://www.brickeconomy.com/set/31018-1/lego-creator-highway-cruiser
31019-1,Forest Animals,Creator,,2014,272,0,Retail,True,02/12/2013,21/11/2015,"12;59 €","12;59 €","26;66 €",111.79,New,,,Default,Owned,https://www.brickeconomy.com/set/31019-1/lego-creator-forest-animals
31020-1,Twinblade Adventures,Creator,,2014,216,0,Retail,True,02/12/2013,10/11/2015,"14;99 €","14;99 €","19;11 €",27.51,New,,,Default,Owned,https://www.brickeconomy.com/set/31020-1/lego-creator-twinblade-adventures
31021-1,Furry Creatures,Creator,,2014,285,0,Retail,True,02/01/2014,27/11/2015,"12;59 €","12;59 €","33;66 €",167.36,New,,,Default,Owned,https://www.brickeconomy.com/set/31021-1/lego-creator-furry-creatures
31022-1,Turbo Quad,Creator,,2014,186,0,Retail,True,02/01/2014,27/11/2015,"19;99 €","19;99 €","29;32 €",46.68,New,,,Default,Owned,https://www.brickeconomy.com/set/31022-1/lego-creator-turbo-quad
31024-1,Roaring Power,Creator,,2014,374,0,Retail,True,27/05/2014,27/11/2015,"29;99 €","29;99 €","56;33 €",87.83,New,,,Default,Owned,https://www.brickeconomy.com/set/31024-1/lego-creator-roaring-power
31025-1,Mountain Hut,Creator,,2014,550,1,Retail,True,02/01/2014,27/11/2015,"39;99 €","39;99 €","51;56 €",28.93,New,,,Default,Owned,https://www.brickeconomy.com/set/31025-1/lego-creator-mountain-hut
40085-1,LEGO Valentine,Seasonal,"Valentine's Day",2014,127,0,Exclusive,True,04/01/2014,04/04/2014,"9;99 €","9;99 €","16;90 €",69.13,New,,,Default,Owned,https://www.brickeconomy.com/set/40085-1/valentines-day-lego-valentine
40086-1,LEGO Easter,Seasonal,Easter,2014,106,0,Exclusive,True,18/02/2014,03/10/2014,"9;99 €","9;99 €","14;44 €",44.55,New,,,Default,Owned,https://www.brickeconomy.com/set/40086-1/lego-easter
40090-1,Halloween Bat,Seasonal,Halloween,2014,156,0,Exclusive,True,06/10/2014,17/10/2014,"4;99 €","4;99 €","21;16 €",324.13,New,,,Default,Owned,https://www.brickeconomy.com/set/40090-1/lego-halloween-bat
40091-1,Thanksgiving Turkey,Seasonal,Thanksgiving,2014,125,0,Exclusive,True,10/10/2014,10/01/2015,"9;99 €","9;99 €","22;02 €",120.40,New,,,Default,Owned,https://www.brickeconomy.com/set/40091-1/lego-thanksgiving-turkey
40092-1,Reindeer,Seasonal,Christmas,2014,139,0,Exclusive,True,10/10/2014,24/11/2014,"9;99 €","9;99 €","19;51 €",95.29,New,,,Default,Owned,https://www.brickeconomy.com/set/40092-1/lego-christmas-reindeer
40093-1,Snowman,Seasonal,Christmas,2014,140,0,Exclusive,True,10/10/2014,19/11/2014,"9;99 €","9;99 €","27;21 €",172.37,New,,,Default,Owned,https://www.brickeconomy.com/set/40093-1/lego-christmas-snowman
40094-1,Snowplough,Promotional,Monthly Mini Model Build,2014,46,0,Promotional,True,01/01/2014,01/01/2016,"0;00 €","0;00 €","5;32 €",431.52,New,,,Default,Owned,https://www.brickeconomy.com/set/40094-1/lego-monthly-mini-model-build-snowplough
40095-1,Micro Manager,Promotional,Monthly Mini Model Build,2014,50,0,Promotional,True,01/02/2014,01/02/2016,"0;00 €","0;00 €","7;87 €",686.72,New,,,Default,Owned,https://www.brickeconomy.com/set/40095-1/lego-monthly-mini-model-build-micro-manager
40096-1,Spring Tree,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/03/2014,01/03/2016,"0;00 €","0;00 €","5;06 €",406.00,New,,,Default,Owned,https://www.brickeconomy.com/set/40096-1/lego-monthly-mini-model-build-spring-tree
40097-1,Helicopter,Promotional,Monthly Mini Model Build,2014,44,0,Promotional,True,01/04/2014,01/04/2016,"0;00 €","0;00 €","5;05 €",405.12,New,,,Default,Owned,https://www.brickeconomy.com/set/40097-1/lego-monthly-mini-model-build-helicopter
40098-1,Dragon,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/01/2014,01/01/2016,"0;00 €","0;00 €","11;00 €",1000.00,New,,,Default,Owned,https://www.brickeconomy.com/set/40098-1/lego-monthly-mini-model-build-dragon
40099-1,Jet-Ski,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/06/2014,01/06/2016,"0;00 €","0;00 €","4;41 €",340.88,New,,,Default,Owned,https://www.brickeconomy.com/set/40099-1/lego-monthly-mini-model-build-jet-ski
40100-1,Surf Van,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/07/2014,01/07/2016,"0;00 €","0;00 €","10;74 €",974.48,New,,,Default,Owned,https://www.brickeconomy.com/set/40100-1/lego-monthly-mini-model-build-surf-van
40101-1,Monkey,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/08/2014,01/08/2016,"0;00 €","0;00 €","8;33 €",733.36,New,,,Default,Owned,https://www.brickeconomy.com/set/40101-1/lego-monthly-mini-model-build-monkey
40102-1,Aircraft,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/09/2014,01/09/2016,"0;00 €","0;00 €","6;21 €",521.28,New,,,Default,Owned,https://www.brickeconomy.com/set/40102-1/lego-monthly-mini-model-build-aircraft
40103-1,Rocket,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/11/2014,01/11/2016,"0;00 €","0;00 €","11;70 €",1069.52,New,,,Default,Owned,https://www.brickeconomy.com/set/40103-1/lego-monthly-mini-model-build-rocket
40104-1,"Frankenstein's Monster",Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/10/2014,01/10/2016,"0;00 €","0;00 €","5;99 €",499.28,New,,,Default,Owned,https://www.brickeconomy.com/set/40104-1/lego-monthly-mini-model-build-frankensteins-monster
40105-1,Gingerbread House,Promotional,Monthly Mini Model Build,2014,0,0,Promotional,True,01/12/2014,01/12/2016,"0;00 €","0;00 €","12;94 €",1194.48,New,,,Default,Owned,https://www.brickeconomy.com/set/40105-1/lego-monthly-mini-model-build-gingerbread-house
40106-1,Toy Workshop,Seasonal,Christmas,2014,107,2,Promotional,True,01/10/2014,01/11/2014,"0;00 €","0;00 €","28;22 €",2722.16,New,,,Default,Owned,https://www.brickeconomy.com/set/40106-1/lego-christmas-toy-workshop
40107-1,Winter Skating Scene,Seasonal,Christmas,2014,129,2,Promotional,True,07/11/2014,25/12/2014,"0;00 €","0;00 €","16;05 €",1505.12,New,,,Default,Owned,https://www.brickeconomy.com/set/40107-1/lego-christmas-winter-skating-scene
40108-1,Balloon Cart,Creator,,2014,66,2,Promotional,True,01/05/2014,15/06/2014,"4;39 €","4;39 €","16;43 €",274.15,New,,,Default,Owned,https://www.brickeconomy.com/set/40108-1/lego-creator-balloon-cart
40109-1,MINI Cooper Mini Model,Creator,,2014,59,0,Promotional,True,01/07/2014,01/08/2014,"0;00 €","0;00 €","22;59 €",2158.96,New,,,Default,Owned,https://www.brickeconomy.com/set/40109-1/lego-creator-mini-cooper-mini-model
40110-1,LEGO City Coin Bank,City,Police,2014,122,1,Exclusive,True,21/02/2014,20/02/2016,"12;99 €","12;99 €","22;01 €",69.43,New,,,Default,Owned,https://www.brickeconomy.com/set/40110-1/lego-city-coin-bank
40112-1,Catwalk Phone Stand,Friends,,2014,144,0,Exclusive,True,03/06/2014,08/04/2015,"6;49 €","6;49 €","14;05 €",116.54,New,,,Default,Owned,https://www.brickeconomy.com/set/40112-1/lego-friends-catwalk-phone-stand
40115-1,LEGOLAND Entrance with Family,Promotional,LEGOLAND,2014,320,0,ExclusiveLEGOLAND,True,01/04/2014,01/04/2016,"11;43 €","11;43 €","26;74 €",133.95,New,,,Default,Owned,https://www.brickeconomy.com/set/40115-1/legoland-entrance-with-family
40116-1,Hero Robot,HERO Factory,,2014,31,1,RetailLimited,True,01/06/2014,01/06/2016,"5;27 €","5;27 €","6;51 €",23.54,New,,,Default,Owned,https://www.brickeconomy.com/set/40116-1/lego-hero-factory-hero-robot
40117-1,Villains Minimodel,HERO Factory,,2014,28,1,Promotional,True,01/01/2014,01/01/2016,"0;00 €","0;00 €","71;83 €",7082.56,New,,,Default,Owned,https://www.brickeconomy.com/set/40117-1/lego-hero-factory-villains-minimodel
40118-1,Buildable Brick Box 2x2,Exclusive,,2014,203,1,Exclusive,True,03/06/2014,28/01/2015,"14;99 €","14;99 €","33;03 €",120.32,New,,,Default,Owned,https://www.brickeconomy.com/set/40118-1/lego-buildable-brick-box-2x2
40145-1,LEGO Brand Retail Store,Promotional,LEGO Brand Store Opening Set,2014,413,1,Promotional,True,27/06/2014,27/06/2016,"0;00 €","0;00 €","24;11 €",2311.20,New,,,Default,Owned,https://www.brickeconomy.com/set/40145-1/lego-brand-retail-store
40180-1,Bricktober Theater,Promotional,Toys R Us,2014,164,0,RetailLimited,True,01/01/2014,01/01/2016,"17;59 €","17;59 €","21;98 €",24.96,New,,,Default,Owned,https://www.brickeconomy.com/set/40180-1/lego-bricktober-theater
40181-1,Bricktober Pizza Place,Promotional,Toys R Us,2014,139,0,RetailLimited,True,01/01/2014,01/01/2016,"17;59 €","17;59 €","26;40 €",50.08,New,,,Default,Owned,https://www.brickeconomy.com/set/40181-1/lego-bricktober-pizza-place
