Date,Open,High,Low,Close
1994-06-30,386.75,395.5,378,385.5
1994-07-31,385.95,389.3,381.5,383.2
1994-08-31,384.25,388.4,375,386
1994-09-30,386,398.1,385,394.6
1994-10-31,394.75,396.2,382.3,383.8
1994-11-30,383.7,387.05,380.3,381.05
1994-12-31,380.65,386.4,374.9,382.6
1995-01-31,382.9,385.75,370.8,374.85
1995-02-28,374.75,380.1,373.5,376.6
1995-03-31,377,391.8,372.8,390.5
1995-04-30,391,397.8,385.1,386.5
1995-05-31,386.3,392,380.4,383.85
1995-06-30,383.8,391.75,382.6,384.15
1995-07-31,384.4,391.4,381.5,382.45
1995-08-31,382.35,386.9,380.7,382.2
1995-09-30,382.15,386.4,378.4,383.35
1995-10-31,383.05,385.7,380.4,382.4
1995-11-30,382.35,390.6,381.1,387.05
1995-12-31,387,390.3,384.35,386.85
1996-01-31,386.9,409.1,386.7,406.05
1996-02-29,406.05,418.15,396.05,399.55
1996-03-31,400,401.45,392.35,395.35
1996-04-30,395.35,398.25,389.75,391.65
1996-05-31,391.95,395.95,389.65,390.75
1996-06-30,390.75,391.4,380.35,380.45
1996-07-31,380.25,387.55,380.25,387.35
1996-08-31,387.35,390.25,385.5,386.5
1996-09-30,386.5,387.65,377.85,378.25
1996-10-31,378.05,384.5,377.2,378.3
1996-11-30,378.3,384.5,371.55,371.65
1996-12-31,370.8,374.55,365.75,369.45
1997-01-31,369.45,369.65,343.65,344.1
1997-02-28,344.5,363.25,336.4,363.25
1997-03-31,363.15,363.15,346,351.05
1997-04-30,351.05,352,337.85,339.25
1997-05-31,339.25,351.05,339.05,344.75
1997-06-30,344.75,344.95,333.55,334
1997-07-31,333.8,334.35,314.25,324.55
1997-08-31,324.39,328.95,318.45,324.15
1997-09-30,324.15,335.05,319.75,334.45
1997-10-31,334.45,339.4,307.6,311.45
1997-11-30,312.3,316.15,295.25,297
1997-12-31,297.25,297.25,281.75,288.8
1998-01-31,288.6,306.15,277.05,302.75
1998-02-28,301.95,303.25,290.85,299.15
1998-03-31,299.75,304.35,286.7,300.95
1998-04-30,300.7,314.95,298.95,306.65
1998-05-31,306.5,306.8,291.1,292.95
1998-06-30,293,300.05,284.2,296.95
1998-07-31,297.95,298.15,286.05,286.45
1998-08-31,286.45,289.45,271.12,275.55
1998-09-30,277.9,299.95,277.75,296.95
1998-10-31,296.45,304.85,290.95,292.55
1998-11-30,292.6,298.3,287.95,293.25
1998-12-31,293.3,297.25,285.35,288.25
1999-01-31,287.75,293.5,282.25,286.05
1999-02-28,286.65,290.55,284.65,287.05
1999-03-31,286.75,294.85,278.45,280.05
1999-04-30,280.15,287.65,277.55,286.05
1999-05-31,286.45,289.95,268,270.35
1999-06-30,270.05,270.05,257.35,261.2
1999-07-31,262.6,263.85,252.45,255.95
1999-08-31,255.9,262,251.95,255.75
1999-09-30,254.85,326.4,253.35,299.2
1999-10-31,300.25,339.5,287.25,299.2
1999-11-30,293.75,299.9,287.35,290.7
1999-12-31,290.75,291.7,274.5,288.25
2000-01-31,288.12,290.83,279.45,283.5
2000-02-29,283.55,319.5,282.35,292.2
2000-03-31,292.2,294.2,275,278.9
2000-04-30,278.75,288.1,273.05,273.35
2000-05-31,275.25,282.45,269.45,272.1
2000-06-30,272.2,294.12,271.9,290.1
2000-07-31,288.95,289.88,276.55,277.25
2000-08-31,277.7,279.05,270.5,277.85
2000-09-30,277.75,279.55,268.65,274.25
2000-10-31,273.95,277.65,263.75,264.6
2000-11-30,264.7,271.15,263.26,270.45
2000-12-31,270.25,276.15,268.1,272.25
2001-01-31,273.15,273.55,262.15,266.05
2001-02-28,265.85,269.75,253.85,267.15
2001-03-31,267.15,275.35,257.25,257.95
2001-04-30,258.05,267.15,254.7,264.05
2001-05-31,264.05,297.75,263.65,265.85
2001-06-30,265.85,279.25,264.95,270.85
2001-07-31,270.85,271.85,264.55,266.65
